Slice,Mean
1,1684.462
2,1682.946
3,1683.983
4,1685.471
5,1683.747
6,1684.044
7,1683.667
8,1685.591
9,1692.806
10,1723.462
11,1779.566
12,1849.339
13,1905.058
14,1930.293
15,1912.012
16,1870.811
17,1827.177
18,1787.331
19,1757.009
20,1736.061
21,1719.419
22,1708.927
23,1699.403
24,1695.254
25,1691.900
26,1688.114
27,1686.849
28,1686.374
29,1687.015
30,1686.018
31,1684.109
32,1685.399
33,1683.703
34,1684.760
35,1683.192
36,1684.738
37,1683.631
38,1685.630
39,1681.830
40,1682.549
41,1682.407
42,1682.475
43,1681.885
44,1683.661
45,1682.170
46,1683.889
47,1682.524
48,1682.641
49,1682.856
50,1682.891
51,1682.443
52,1682.346
53,1683.478
54,1683.092
55,1683.302
56,1683.034
57,1683.859
58,1683.553
59,1682.840
60,1681.782
61,1682.260
